date,r2,rmse,mae
2026-06-27,0.9449,13.51,9.76
2026-06-27,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-06-27,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-06-27,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-06-27,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-06-27,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-06-28,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-06-28,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-07-06,0.9837286343149704,7.414132166092687,3.2004446365851127
2026-07-12,0.9837286343149704,7.4141321660926875,3.2004446365851127
